f(a,b,c,d,e,f) a b c d e f
7923537528808 380 83 299 15 793 578
57067749832028 564 85 879 337 602 79
24694218911995 474 936 802 922 675 166
360677456055 34 775 491 275 429 73
185802014028 130 621 359 423 180 823
190979817734852 718 633 36 119 737 363
409090406426570 836 928 505 459 900 804
204482853308044 728 5 9 807 94 879
634451873529492 913 506 487 238 839 629
164500149976985 697 186 658 16 585 223
5150597228293 343 797 769 63 563 652
949951796110 63 987 358 905 49 764
28771602557034 491 696 53 406 960 38
14389018299601 428 405 250 206 519 883
642634849362 151 867 967 195 824 934
161064818108281 694 524 6 63 2 432
15650411188298 435 523 393 235 464 340
24694212725848 477 138 560 470 879 406
4925649241964 344 574 427 394 703 550
1690714585877 279 165 819 8 594 510
753704117324043 945 520 793 41 184 450
159885970844181 693 481 769 682 486 608
5012982836380 334 962 194 510 685 9
867633414945566 972 316 452 303 180 123
121135026060 162 313 342 207 891 857
329918315431477 801 656 36 393 172 671
155652791464800 689 785 99 782 356 887
4376983814235 337 420 901 616 858 5
2852397956354 298 842 673 203 13 91
425842457104 155 762 917 177 10 519
279084971212 29 727 653 428 724 147
185594875630967 714 423 82 256 327 887
13192416227088 420 593 714 785 843 603
389837148625464 828 900 22 580 775 389
64778986072277 578 719 407 450 737 344
726206179414945 938 526 382 762 655 352
39410585625559 523 728 555 201 73 61
487067818505330 866 89 448 547 657 701
4649271792386 341 445 886 329 150 37
8458699139339 385 11 111 871 143 690
131065201755820 666 433 417 793 180 863
185247623829 109 642 261 317 557 91
170484393587827 702 46 718 63 93 415
1605641366476 276 253 288 335 360 196
30956211513624 499 365 658 259 162 391
357134337620 41 773 282 368 511 467
527913801047 63 852 248 47 199 34
35531428278014 513 229 860 927 582 231
359602603308807 815 412 235 630 351 790
57765842918177 565 660 156 318 906 244
27675855324691 488 106 136 7 470 806
715531012456 160 884 41 904 436 101
127807021982971 662 903 514 545 985 72
123957857529 3 594 812 129 825 764
76642229948 4 527 789 305 123 124
685084215800170 927 859 89 392 972 207
2643112485861 305 248 323 523 645 319
5327023006049 351 35 856 458 115 116
5340652982176 351 338 362 408 628 781
131031770211307 666 210 667 529 270 895
470427015713534 860 20 127 358 701 858
240493677080137 752 303 750 950 806 868
751393170991 232 531 602 780 818 648
169495117054916 701 686 653 202 881 193
903931949346426 980 325 160 737 443 621
14975858195373 427 940 275 346 212 783
14800468301224 430 562 511 558 434 727
319955066488687 796 788 254 532 762 345
1036660927450 253 95 10 531 527 274
436005216987 206 505 62 268 456 190
137039344784489 672 142 909 49 890 451
898981158722 210 837 609 374 215 901
145394299140858 680 176 258 769 416 609
746038046469747 943 768 455 818 886 499
21039205175 105 302 347 728 832 297
65660125892993 580 398 863 706 99 619
4872353868781 343 595 815 999 174 415
33558359254325 507 493 689 86 828 472
35616591071226 512 811 723 204 739 677
3647547437700 319 766 424 938 545 106
42615310623957 532 175 587 1 91 811
24857329339 120 75 386 486 182 502
525746357181 129 837 918 626 884 893
754168257185326 945 856 525 655 923 552
56534355191261 561 992 883 388 619 744
567910861364332 893 416 309 192 717 223
342393335094292 807 594 624 171 178 864
189494147277637 717 56 13 669 832 480
359886847869882 815 748 49 542 703 895
711022899392482 934 703 165 739 533 230
3726381330756 311 951 983 866 530 95
10869167131 71 314 869 88 507 878
267409250134542 768 691 399 180 462 170
253592761286576 760 448 388 476 690 866
32198755954705 503 91 507 197 267 380
217440024845818 737 179 73 391 615 691
168973687884366 700 975 20 93 685 963
1392223667478 265 541 669 592 947 862
357373224102191 814 41 244 795 445 150
28689241832663 489 924 532 705 702 399
15748056046910 435 645 877 337 105 101
2643791781121 305 260 521 220 605 432
624257012090851 910 689 790 666 558 786
6487361394561 365 310 606 566 617 269
539998386902408 884 636 837 356 559 306
714916771336326 935 755 8 898 140 800
15575604598034 435 53 385 996 502 805
650358738 49 144 396 211 326 392
74680534 38 27 172 498 913 962
8030312712568 381 218 646 944 333 950
114255163041152 648 121 137 634 850 172
4615245602846 334 823 417 169 610 115
976406030835 250 126 742 227 934 786
61513121305248 572 728 109 704 779 906
19322590977762 454 435 952 287 811 423
964479512163 24 991 226 765 417 972
122413771394029 657 188 656 677 182 193
1962018312555 284 582 627 559 161 118
487329053623279 866 715 523 375 520 850
470428539224770 860 203 561 492 781 297
65015635034 24 505 311 958 923 135
529286319810 12 853 505 857 59 806
501339563744814 871 467 75 791 485 141
72903191368966 592 661 490 852 865 776
408351172692549 836 219 292 275 782 883
201744275389587 726 486 975 351 214 605
167611282121083 699 927 447 322 675 969
329732737929911 801 44 732 75 760 147
956038671948885 991 697 433 858 105 227
749652671508988 944 165 810 177 627 335
1237092737318 262 225 240 772 173 916
3121706475940 315 378 419 505 971 192
34165564340475 509 27 293 624 477 141
56295536294909 561 924 389 591 748 462
222432393276343 740 854 555 665 699 998
496030713250536 869 827 382 94 504 516
641365230165438 915 86 520 332 66 349
150817892325978 685 119 582 964 51 285
950993043869374 990 237 544 918 261 818
163867035666100 696 859 7 277 208 821
474090247177848 861 980 818 34 695 250
12792078560813 416 760 410 315 88 834
103073286727586 634 894 67 500 363 366
50387227765484 549 847 246 338 465 587
257769072348178 762 964 958 637 585 420
3721491130306 322 714 274 581 584 717
30268125094995 496 706 536 323 149 107
214631001959019 735 597 874 368 663 956
1101045489997 225 851 416 931 456 880
291257486847 141 697 785 607 838 845
298682097160270 785 877 400 570 147 287
574694871168845 895 808 465 492 796 311
36613026762254 516 426 678 125 228 501
294330294478186 783 365 288 647 614 29
87395776031307 613 957 338 465 58 162
10897274522904 405 198 774 445 441 101
91264377985369 619 789 63 329 151 396
9021938031987 390 12 784 469 376 710
17064457576761 443 235 529 645 564 373
1752738539044 281 188 794 234 994 263
4479626375604 339 224 206 77 341 327
30779785037 125 128 184 107 207 646
19514326472071 455 344 880 123 641 36
23676208361011 473 172 806 56 821 101
7923769233187 380 128 252 111 3 625
54694753794605 559 579 943 92 818 622
5766954863230 355 599 26 220 363 747
248649755850008 757 500 675 336 638 352
8326361605509 379 844 954 252 238 888
24698787353113 477 263 283 162 804 616
142330280876 169 260 461 12 318 878
1129046149277 257 304 866 221 112 727
38966013528 95 421 571 445 322 716
29080780586613 491 859 858 394 922 397
174332184098552 705 646 941 591 440 661
10417978906593 401 472 666 405 877 950
21276695304728 463 32 340 886 297 426
162349357222026 695 666 290 167 692 656
543611142236422 885 920 962 246 21 158
433714516283273 846 770 68 482 68 179
298115317006800 785 400 960 902 343 930
2753267256820 305 581 352 664 963 55
35028774793866 509 964 740 102 102 497
507482870560486 873 800 836 738 253 958
72100126928648 591 31 612 862 998 244
12960085590880 413 986 933 276 606 526
373005353095394 821 34 853 382 221 831
137042073817867 672 221 97 711 77 839
510271521449995 874 732 673 766 559 287
151431166637 36 624 624 970 65 674
160989438149826 694 59 46 912 277 388
761642765562940 947 233 764 175 563 918
3030814919768 303 831 241 63 758 4
262032779348908 765 415 756 376 197 801
42215565183486 531 25 52 926 46 846
546184617 20 154 269 372 471 227
21975430569691 466 141 45 239 871 969
128119110964 49 598 353 669 536 671
2061321930368 290 318 267 637 186 332
23675268485904 473 106 894 39 811 749
300100413482086 786 571 92 801 81 35
6933448866116 370 19 982 57 911 995
662721751015289 921 475 760 571 730 762
32679349772269 504 632 705 817 617 660
223836633668442 741 811 230 283 878 739
28262530027729 490 350 104 913 771 909
495614213364 42 839 277 330 946 548
110672202136339 643 933 260 838 77 860
1679994581462 258 856 356 665 140 209
311625564788522 792 274 789 397 169 17
1083981089 34 196 759 967 336 785
84269397570724 609 841 768 79 72 395
96902833693197 627 66 664 482 185 831
454325436321211 854 534 338 903 609 811
499942769417 215 451 940 957 596 688
399281858551 204 464 722 116 432 411
60699605553293 571 187 782 446 865 938
652083769645565 918 607 870 718 75 603
53688775108 140 73 496 299 337 167
338048919358626 805 106 211 786 716 234
239025698914371 751 606 474 944 795 609
137040724365443 672 196 761 899 847 90
63399370263022 575 859 217 213 861 725
108263639616449 641 468 86 123 484 121
150850130991 87 618 28 902 524 534
24924657910459 477 693 190 799 99 403
10007179085819 398 379 96 917 221 568
26286623443758 483 14 372 416 605 526
274227458089793 772 354 650 870 387 48
167374989448794 699 842 827 496 372 414
1283298336755 264 174 190 786 258 711
14613394379858 428 708 98 797 134 55
975248757854973 995 158 852 835 918 257
6638706263 93 66 696 940 183 247
35451185246225 512 719 758 768 311 305
31267564187 49 420 509 82 333 752
72747553993574 592 433 193 909 869 500
8504590110268 377 971 172 419 363 996
897499727 62 32 270 759 95 465
659524871975795 920 816 249 257 782 269
2092103867 73 78 262 558 726 662
1934754488420 280 680 458 207 69 56
657748553643 231 7 11 825 954 643
703443987363310 932 702 111 808 958 327
470480914328557 860 484 993 583 522 573
914324645752 39 978 856 628 644 41
12154984066401 409 918 603 394 620 389
11110878115 99 222 939 119 223 637
7145984884943 372 388 808 600 834 53
8757689257059 383 848 882 640 163 265
281535152332831 776 618 879 771 262 85
63402848813072 576 124 916 840 679 97
5804626538597 357 281 765 807 877 960
408109394542 187 651 551 470 518 397
9066567199175 385 883 364 86 122 165
260405193022440 764 576 773 90 156 111
109915706571754 643 188 224 827 213 359
512922771195285 875 343 178 505 339 117
17351635627542 440 963 33 635 609 74
6804879364922 365 756 497 260 299 415
2883297862668 310 378 321 761 604 8
3778119791176 321 780 614 542 70 507
3393454663742 318 614 824 584 875 923
346380826388 119 754 885 785 871 2
561685303681 223 321 740 979 811 867
14431071874427 428 514 950 214 4 425
59207922307648 568 543 100 402 787 90
15438549050316 432 792 940 940 974 274
137790031211 169 87 501 791 188 123
411611415939359 837 950 487 924 941 840
707950409184 146 895 307 298 800 928
88354650636 154 208 512 179 707 758
6478882384327 365 152 52 492 795 707
2253079184034 288 722 238 405 253 824
30437942460449 495 921 211 905 2 17
8692557520015 387 330 148 305 34 761
216022202024 91 677 657 901 26 798
33369467551579 504 960 341 852 711 813
26792173308 34 405 540 429 673 157
696613966652563 930 981 815 748 199 670
626715658563 156 855 415 819 133 585
327797114710374 800 585 148 408 204 929
16523485278900 440 424 770 686 225 813
168072092618410 700 214 167 876 553 828
103254340444283 635 313 545 270 680 122
858735551073938 970 203 557 207 742 1
627503228403890 911 432 334 97 193 377
129253095638 58 599 521 965 653 412
965488451164559 993 214 611 851 735 295
25859487316784 480 785 863 441 370 995
20012281666375 457 530 178 815 292 963
462502822631371 857 688 557 768 249 654
293293102782 52 736 805 983 929 547
251256035308 10 708 213 197 307 705
366248944764698 818 302 5 686 821 132
1675570443238 268 736 732 252 86 84
34292293940508 508 824 168 193 492 111
388090532437 197 550 500 774 765 141
10366738134228 397 843 94 379 546 929
679839408923 104 904 553 584 756 280
87978054638581 615 65 643 843 347 98
858744099631910 970 320 744 968 913 813
15755518661699 436 64 195 340 231 611
122417349359466 657 260 292 188 849 460
18950066720475 448 975 20 804 637 441
323611234708691 798 294 873 315 14 915
634397872265618 913 329 653 461 214 146
171009400689 40 643 321 97 920 232
518253996572 219 347 90 283 233 676
256918713793772 762 336 732 503 191 598
824108743995 240 409 515 286 672 951
890170532955572 977 169 177 510 510 407
175051814082 38 647 639 113 203 836
946197565746719 989 172 417 402 853 172
42000680782989 530 653 885 485 724 624
863176995240174 971 293 89 17 351 123
19894414826452 455 792 368 611 976 826
41489478071409 529 501 326 369 546 820
338291304893890 805 702 707 165 850 577
617432467279413 908 691 627 899 82 186
931934691151967 986 222 788 466 222 319
20167511592845 458 351 457 759 846 64
971061772728636 994 916 446 523 575 714
66210883075358 581 295 527 203 224 588
12161578833910 414 51 695 525 548 187
9620022746920 395 255 189 234 159 296
1209248422876 209 949 849 751 809 115
590827111191944 900 762 331 745 542 612
604120009046830 904 791 856 605 934 522
613885460955098 907 518 330 817 785 213
8248540678171 383 293 455 782 793 27
1169214035586 254 579 737 232 868 934
179627871923404 709 829 707 902 735 380
949385006661 52 987 76 528 258 258
16085880562628 434 911 693 578 685 257
432642122 54 66 357 968 62 625
36936087617081 517 120 713 516 641 664
268925018358538 769 93 724 804 239 869
96138358277246 626 276 639 968 162 883
260551976828 192 100 776 315 971 886
108439700857632 641 688 282 364 811 688
18464997738028 449 682 321 759 110 695
980323964263896 996 637 357 933 971 948
13907731637850 420 957 555 180 257 487
170514184679283 702 415 618 703 587 368
12421669408655 414 714 507 609 160 289
142214313748278 677 32 229 734 244 556
117234721 1 150 730 302 676 742
11411831685494 408 571 637 788 220 890
32832353992 6 426 466 744 988 604
313592422082389 793 101 722 118 826 899
642115613637 108 890 43 807 845 724
832607326777719 964 571 910 119 719 376
47494832570565 543 733 388 756 258 159
2086785647428 291 89 92 797 625 2
326407252363225 799 937 884 289 213 867
16873695832119 442 249 147 615 295 499
490829922013 204 609 306 850 428 166
20876892648221 461 486 347 654 330 443
195438796069543 721 880 453 413 899 307
5481144810479 353 30 308 548 698 352
199407104294360 724 833 988 849 569 269
343515290525 200 392 460 398 231 1000
292898525091671 782 824 770 49 776 838
92210205837061 620 879 372 160 461 407
248833818559427 757 705 920 639 431 175
607076209352301 905 169 719 384 234 296
215976511292729 736 310 823 959 755 606
179963533767612 709 948 392 932 419 384
1650993546918 277 377 51 445 632 694
3755254104068 316 882 935 750 880 461
15198305719512 429 904 616 516 4 83
1243252121077 215 941 609 701 460 709
908550152170005 981 301 487 60 566 580
1661556823160 270 690 172 282 419 907
397648138506 154 747 700 579 183 639
1998989244286 275 808 180 610 933 372
737815404379670 941 78 894 107 367 423
170034722826 71 641 840 20 445 849
25984260180017 481 698 322 808 986 454
623654528415 212 665 520 110 687 161
99251931745239 630 308 897 322 464 230
29122392230261 493 8 797 821 903 321
26410329756111 483 593 129 112 223 621
68513434935223 585 117 910 963 690 224
7219178127956 373 29 979 267 555 499
364061724998837 817 483 540 838 463 158
487989404279858 866 980 932 627 214 9
1922245581 52 199 297 67 321 33
561550521136563 891 142 26 861 3 928
446320598018290 851 96 993 642 41 357
88315319767358 615 762 507 944 894 252
72529881243298 591 810 980 511 549 287
221902399099747 740 219 826 943 709 550
20821142065774 461 19 158 341 131 992
283902560702695 777 913 89 873 973 400
135365564637 55 606 12 838 936 520
1496114468207 266 637 621 191 985 155
201689836882065 726 151 459 281 701 685
24439805945287 476 244 41 233 775 528
291205883419260 781 892 518 679 833 783
157108213829 172 285 296 908 312 688
27393244992746 487 114 632 50 672 769
610133425517 186 789 268 425 98 209
52232739417186 554 467 585 363 891 612
52273142343461 554 545 771 539 321 963
1699981911329 255 888 287 665 757 499
342766955024952 807 840 105 954 584 232
108190247207 161 165 899 718 896 866
690434129742 70 911 249 399 548 803
798527095105744 956 142 361 332 30 591
382181373154150 825 52 591 874 858 248
14694293463957 429 636 276 838 31 499
43521877421556 532 976 462 634 882 960
288830209861 196 148 967 239 456 37
183745130505254 712 936 956 908 157 957
380417262302135 824 860 877 565 368 711
340153702188009 806 153 821 852 958 803
118635528150039 652 949 887 558 336 15
846124515412592 967 876 955 492 919 73
33028466809837 505 656 923 727 75 981
2877516966 78 82 380 684 901 837
3565590482798 322 568 487 84 820 189
46772941391578 542 84 620 351 654 205
353263357316 203 304 202 982 137 306
71318633973 107 490 708 449 757 372
513808915965525 875 974 179 127 720 166
594030071132939 901 709 746 963 197 453
470432506253358 860 277 736 586 840 747
18914099049433 452 467 9 747 524 938
2777064771632 308 274 683 535 392 148
154767554395984 688 887 992 344 122 477
353149174630132 812 617 556 536 980 679
292669421 45 103 164 236 427 696
92272283718317 620 901 273 729 248 156
1606366463984 274 499 217 804 438 430
796256981287 240 30 184 492 206 93
4991369595586 339 847 751 868 224 265
31157739722 123 235 356 22 147 101
340153914580475 806 127 376 303 774 357
1068613175711 181 967 349 363 103 972
10884221339 96 230 408 465 310 900
807006771667183 958 552 853 720 549 7
149885271032345 684 638 867 21 946 381
11647320023 103 91 241 761 933 146
210780330429 179 407 752 601 9 727
250443619921134 758 677 653 31 754 417
350857118599514 811 381 369 987 60 904
120568020289366 655 291 382 90 851 257
24180976706383 475 134 21 178 571 84
2429847800192 300 144 835 650 513 208
66475951625 43 509 926 138 300 959
527745477346 212 562 625 111 471 221
9375051128640 393 125 208 642 702 390
301907262733492 787 44 420 42 386 261
76660056096940 598 658 235 177 923 451
863260457368290 971 549 223 990 194 21
99253953456389 630 322 767 947 445 804
655298397599 11 900 929 646 583 408
2196413558404 294 18 485 105 964 260
1504730581438 269 557 338 510 661 389
19500795761472 455 30 594 453 691 537
240469642246 82 698 846 549 407 978
786080199905486 953 260 676 139 623 507
287111390061 195 277 899 535 871 38
101739760384407 633 577 663 546 272 402
213456947834055 734 799 60 861 473 496
1571864750651 275 48 967 238 296 889
253552397648393 760 91 593 744 292 253
346775224071541 809 703 755 644 417 625
299993961339308 786 38 534 875 178 247
5798447172162 357 4 732 281 489 747
263803235543542 766 537 734 534 745 430
727088382103 213 733 266 544 618 223
659296369366813 920 681 611 278 106 439
828999862536 120 947 531 638 563 145
621188424514799 909 872 881 861 138 636
150478127693 114 602 483 621 129 490
30363185797696 497 446 401 770 801 13
349171363041 182 622 583 659 971 810
91631869147 102 533 487 979 942 576
340911453604753 806 933 172 956 442 906
1245000712979 232 870 184 743 508 800
16279623625963 435 916 356 466 212 290
828214496955412 963 384 261 852 577 585
63183215520835 575 757 434 575 109 879
296939301699 197 131 401 926 911 385
-1028863 10 19 108 222 143 163
90144934944059 618 9 601 511 228 992
78518668608099 601 574 367 230 173 982
70663910004065 588 783 947 292 698 109
1589683297162 270 628 907 157 111 81
11039369760939 406 301 610 47 262 653
162617794278049 695 826 702 414 731 761
199403315320 112 653 355 441 845 796
246958499497493 756 304 223 923 578 727
7109292013859 371 533 297 220 741 199
131193701182 166 273 743 45 255 872
985278246938879 997 659 437 53 53 508
10790258203610 398 947 822 189 813 407
6856450197676 369 352 456 976 954 497
243725762486574 754 398 141 300 644 611
207980907400722 730 906 287 331 914 484
138216719204807 673 627 585 602 73 523
30342969647230 497 373 412 541 140 179
56797895202 127 395 836 983 1000 243
257021051950252 762 582 349 622 582 589
227968384564837 744 277 874 25 77 694
143422007842053 678 627 671 285 375 95
15045184242352 432 32 903 348 384 939
218985610314012 738 510 596 495 837 248
1740118069021 253 916 781 195 21 717
833059745348 218 764 98 148 34 374
13240976956991 421 353 103 14 576 146
22671992299486 467 824 947 714 680 532
18046378832977 448 1 17 934 443 544
75873828669 15 525 458 132 267 182
31180104658634 497 962 291 254 717 441
20398632474146 459 399 477 295 300 184
46425552496066 541 536 603 589 527 860
932606450770416 986 906 417 529 388 140
31295195518650 500 463 912 150 554 313
4047261691076 332 348 994 547 282 783
336924083831 35 762 651 987 304 380
1339030380620 266 299 874 730 132 5
162169930266318 695 364 642 90 181 944
533765905829832 882 314 188 62 507 287
410799891731712 837 240 767 753 552 113
819628619823681 961 136 210 971 181 712
765732577753851 948 500 272 160 778 593
72828076536547 592 584 867 185 341 16
19365680904 114 104 176 33 424 543
135023594307414 670 325 418 602 409 410
9811349849681 395 665 243 448 586 54
59520367288689 568 795 423 331 839 293
1573242565846 275 191 948 320 925 757
211618700106 103 669 658 213 686 55
98761616934400 629 742 187 356 88 914
757631678987974 946 269 991 428 320 200
946196471821853 989 127 820 493 722 48
7976061004 39 298 68 612 158 51
1572435418231 270 609 200 753 904 413
87265964838120 614 189 873 731 211 130
391556214017938 829 373 128 900 326 74
4959923933 86 139 490 870 589 257
515846393580285 876 82 587 182 368 186
574260030528 137 852 979 966 835 793
1694412629136 276 552 9 325 191 357
443708804656242 850 246 554 53 994 403
59304052823201 568 655 999 540 590 877
638710523603197 914 958 191 680 807 61
13706524439896 424 246 828 958 820 790
116392956557 146 473 14 971 999 914
648483163082808 917 528 342 58 990 435
285034538307318 778 53 694 933 729 191
2514289700725 292 791 231 914 512 697
246990934697742 756 450 346 136 592 974
325726609863 199 344 709 613 125 59
802711872814369 957 25 166 758 266 459
927317459332595 985 564 611 280 381 224
229610881256070 745 578 311 831 457 332
14993749342 63 344 128 564 72 419
330389107310459 801 900 492 459 516 971
496227629856581 869 903 648 676 118 949
24525119374906 476 546 248 31 189 846
3056057085357 296 941 656 617 669 150
3913266181077 330 53 655 541 665 765
70037498666113 587 766 37 559 642 322
828413336216072 963 686 964 770 324 63
-26399893 16 31 305 217 47 371
428856190182823 844 877 289 990 464 73
66538911706355 580 975 768 13 450 99
467734403414479 859 436 398 564 395 797
19076069110783 453 127 707 791 929 172
206624032426 183 193 71 181 58 954
4968385578090 337 888 243 200 581 823
13601169050708 423 492 268 792 181 128
159939535227879 693 572 744 558 656 900
310217011966 185 553 126 732 876 628
90877244566230 619 144 315 66 532 712
451590790903803 853 44 441 895 568 872
492973609346221 868 711 550 858 962 392
745691207882737 943 207 957 183 227 76
43829685221936 535 83 470 757 948 535
936712173296841 987 458 42 835 263 428
348678700244424 810 127 11 164 146 804
423550463474 168 734 812 360 543 795
19684577682568 455 655 788 315 313 812
150239418763264 684 849 720 490 751 998
70510667978203 587 951 788 227 823 517
82942465197830 607 857 318 605 820 429
226444007940981 743 311 850 978 547 672
1175528363510 240 785 776 846 439 176
307741104403169 790 434 238 828 540 337
3738259124655 327 128 953 787 809 373
830073350405 185 885 408 995 62 410
552327628219820 888 640 59 457 955 619
373044478434778 821 443 197 549 926 574
423270179435198 842 486 310 114 196 240
375302500059546 822 373 297 531 781 34
516054395587687 876 676 994 757 550 212
161010943220966 694 383 83 973 286 549
662820728834448 921 622 616 300 682 305
137331460864429 672 735 415 398 722 427
985214825778076 997 595 620 146 279 269
13406269927128 420 762 90 408 661 323
58105067481666 566 365 480 3 15 447
-49659048 42 10 565 696 299 850
581465165804365 897 931 79 869 259 898
8989608699011 389 537 961 783 471 328
890170301830364 977 190 898 902 922 675
45655764722166 539 636 918 723 371 989
1123722571296 224 865 407 495 593 102
384507092754 62 787 300 519 897 345
561357063655 74 865 889 997 430 348
7231572715 67 281 707 73 477 780
706424518596 234 264 254 795 91 934
3075468182627 309 713 190 695 134 88
9862992945739 397 189 20 967 433 741
47145182295846 542 781 39 906 983 523
995503124945149 999 838 227 81 744 872
970359118133171 994 189 163 486 423 944
326489890559066 799 961 485 851 413 487
41537351743664 529 577 106 983 492 515
233094025030824 747 840 636 667 578 528
276627877496615 773 893 874 615 24 906
610444795400628 906 298 659 980 470 165
580853035478342 897 611 608 382 284 90
528442088214666 880 918 231 89 426 366
38593648124690 519 984 460 189 34 332
3356518000296 320 201 823 838 29 395
2236242418193 295 215 320 240 586 367
6771618173147 367 581 497 666 518 108
681072846379003 926 683 621 458 309 800
501292928441696 871 203 917 445 892 540
872142530171430 973 465 330 819 618 275
555445496527219 889 642 636 36 256 38
909122074450529 981 873 938 726 936 997
125233112331719 660 79 569 149 750 748
490034220471574 867 620 393 13 416 495
5279715510 42 268 213 58 374 467
281797965280 195 67 557 97 554 326
207190954725 127 646 39 115 300 366
166110390180955 698 809 860 528 664 434
17606498374921 444 770 302 181 64 60
-99090833 1 20 463 818 712 483
4047434473016 331 522 207 528 548 776
418300166251505 840 545 7 524 241 458
43814731597668 534 792 721 803 590 516
10928469276732 401 865 235 822 274 885
45081715047786 538 311 482 274 391 280
507073964225201 873 120 461 181 902 706
477117096064 151 795 944 948 702 422
135024641602295 670 333 549 181 936 6
462278939236188 857 58 235 408 193 909
22691481145346 469 69 455 312 50 889
607077519720882 905 205 227 271 518 926
2024024919949 264 928 115 753 118 273
5859830889381 357 497 280 616 654 473
307705631742845 790 26 205 188 125 681
25752980507378 479 856 105 497 368 43
5256560813765 350 269 952 327 479 46
58339786091 59 490 285 321 193 403
510004669821051 874 376 331 254 978 510
93691785301180 622 877 634 712 28 271
3105090932289 314 479 15 487 613 259
250269368172579 758 436 844 946 318 915
305764540805279 789 206 684 697 570 471
454540791745557 854 738 185 563 733 126
749869796569565 944 683 652 894 801 333
688552960131632 928 748 339 507 887 73
101854523081783 633 689 361 548 476 406
872239250360875 973 616 819 985 387 733
669918141396244 923 378 142 463 681 89
25509773334961 480 414 38 223 594 200
