f(a,b,c,d,e,f) a b c d e f
193491631329756 720 5 509 116 485 759
500110250525 123 829 700 43 738 820
81732844625155 606 284 587 393 508 145
10232740043 56 321 978 636 324 978
504186247739042 872 316 276 768 355 127
158984474385816 692 741 345 997 272 379
274802694976223 772 877 963 128 15 154
2122884730846 292 88 82 620 67 759
229573410790 138 651 436 863 139 875
714593453963935 935 220 901 798 675 788
539840956786096 884 276 587 568 355 776
11584943808235 410 56 882 929 949 829
203852683413377 727 937 759 883 226 379
2087086809404 291 147 470 199 292 581
4610721230218 341 49 336 131 553 88
48111939893040 545 416 192 427 457 283
7958155574997 376 816 728 698 282 257
1408675350115 254 770 436 588 119 240
681704820184503 926 960 63 297 151 726
4681471884658 342 229 329 537 919 778
111945161835508 645 747 908 531 134 949
790208831819728 954 57 38 614 726 235
515946910763078 876 563 478 927 861 305
137045443975847 672 277 510 706 271 797
1632192218835 263 782 377 68 608 673
181697398780853 711 132 201 892 65 170
11584773933601 410 54 949 170 633 91
8569329884705 386 185 989 251 736 586
899417405483988 979 561 129 807 256 874
50948797285368 551 634 741 3 81 618
73962666692837 594 342 55 737 493 462
250233793454614 758 74 411 922 573 306
274214749774277 772 237 757 920 609 648
75929531733632 597 554 206 288 755 592
5042913516980 347 331 213 520 488 341
9437949797310 388 896 54 819 552 379
568280370 55 92 188 822 28 521
634386480078869 913 120 545 490 287 924
45161452411 135 140 398 938 911 979
849921301565504 968 248 219 640 466 273
71492620679112 590 120 255 234 134 119
275945477938 161 640 132 192 106 807
89054016002 153 275 797 526 217 214
92358280797106 621 262 972 633 538 146
645648353018563 916 937 575 593 841 967
65557286404727 579 835 860 318 678 207
149755486915583 684 436 961 717 920 987
4889159039815 344 518 225 830 372 38
201787324432 182 235 984 715 417 147
8493138391765 385 432 731 312 469 874
99748598993276 630 843 426 496 199 156
40266464522534 526 194 359 806 31 104
526845599585 128 838 871 183 965 844
363752843458 177 661 956 778 241 357
2168704785223 271 917 368 105 400 78
25080127655672 478 596 224 745 633 694
659581478180253 920 841 663 685 494 360
23738178301905 473 500 563 204 701 954
14297331041348 427 566 753 783 673 26
93578540269 120 512 289 28 480 594
49451070071372 548 420 375 643 165 971
644880267059142 916 225 211 809 349 714
3549017550 81 105 390 806 417 301
4112547963467 323 879 510 420 878 445
659231574618018 920 623 840 558 369 450
111636347358154 645 219 788 252 522 606
38523595823 75 437 683 651 726 597
125189704355 20 595 528 425 272 985
20949647343533 460 771 218 471 773 40
40650406970871 527 192 632 34 463 439
4182732401673 325 864 756 449 410 889
5661895600705 355 393 560 222 501 506
79204268576317 601 944 264 762 991 811
35485941666099 511 896 882 78 760 822
600446125681666 903 470 58 383 717 935
61807864353084 573 444 711 713 674 539
603734961178622 904 276 105 101 39 107
6206465671459 354 897 566 383 540 127
5168899942769 339 912 250 157 24 353
29420742054619 494 190 290 778 385 232
819952755383130 961 755 772 2 863 487
127438839028524 662 738 400 88 665 203
677643431809583 925 822 582 210 646 114
292757764546489 782 752 151 139 305 548
3625362803276 325 136 961 140 908 768
40378826829404 526 581 599 205 756 145
6480149500823 365 206 35 327 885 265
53680309793273 557 509 813 927 527 498
99245427571255 630 206 302 402 268 97
374227505209 206 240 387 358 778 900
168506829777007 700 813 369 531 469 455
1080394492428 255 229 824 249 320 227
101635940742020 633 287 378 314 869 435
174554928729 32 647 893 134 247 992
659166853127711 920 542 989 295 436 953
786737862986620 953 902 302 178 782 459
364819476561 204 328 393 433 272 233
5085245483954 341 830 450 276 202 775
841233618664886 966 497 997 628 529 45
30634810715480 498 270 785 855 599 683
223882818585 66 687 499 101 178 268
75146382064815 595 870 407 939 864 280
169885910816 125 611 62 984 398 596
8264479768396 375 960 861 335 187 880
442725666711 122 803 431 644 145 800
1210559349575 261 78 862 89 726 331
386842806244891 827 287 829 981 766 865
441217591247 30 815 116 319 931 268
127142317560225 662 127 593 888 910 811
89835952922572 617 804 430 556 853 250
14200920201463 422 951 663 173 760 344
258757166112 177 540 1 915 261 280
629531946613 229 13 614 577 575 295
43016836728211 533 177 905 638 416 648
507086752411748 873 337 70 517 454 423
364552730213 109 769 815 823 705 190
153765568738 166 410 815 531 548 458
15757197175677 436 227 989 301 66 962
114606123752417 648 770 710 868 346 235
65072282981492 579 149 213 808 371 610
2329821069834 297 372 617 481 829 924
237303973853868 750 69 903 479 439 156
28597104710174 490 769 504 839 299 779
519229708385982 877 811 793 271 891 79
6429190542 32 287 730 100 538 311
695844444568852 930 629 770 33 714 224
316372249278957 794 945 572 588 750 18
819921610254273 961 736 481 171 822 704
35875971525740 514 12 995 291 947 817
596564193517 113 872 353 272 903 70
5718427169813 356 186 946 113 642 602
1714377528063 268 759 271 819 842 784
110426717301160 643 846 89 996 745 289
441938835265 209 456 425 509 146 90
433866313775 208 460 619 895 208 563
43472002671 134 156 687 95 501 458
1041847605638 193 938 398 560 375 966
60934867521231 571 697 156 956 260 99
327679545245261 800 3 769 206 670 913
873843263059 238 577 858 506 693 363
594031053615 26 878 624 32 600 775
73339105006892 593 327 980 53 804 801
35193229291632 512 307 295 888 245 41
47254551478591 543 469 350 845 270 12
46280706216699 540 777 658 200 726 644
67930590048477 584 117 194 361 972 383
624031659619433 910 18 786 950 579 584
11727602607074 411 44 57 509 403 208
31281802304 92 399 868 545 44 114
718424743200331 936 254 925 345 352 327
19301887866802 454 350 915 496 135 22
571067842855085 894 111 173 626 163 748
159854529675839 693 384 481 860 393 598
296613390865 99 732 157 232 401 650
552159428526931 888 31 754 636 562 108
200882371951443 725 872 110 822 194 846
264353549965735 766 892 177 460 953 83
536798243827718 883 311 63 132 800 349
942000626182416 988 872 725 843 747 327
9858574857099 392 881 11 486 488 303
2771696837345 308 31 371 661 239 967
6723707685447 364 760 148 243 249 923
1204661276869 223 899 87 555 804 269
2213845719162 293 483 143 324 29 802
982624226427 195 915 648 154 624 941
239875022097126 751 996 256 462 133 740
4148429090879 331 647 60 639 610 98
765053376030 238 199 529 538 32 980
312294386107 137 717 634 876 377 580
103587392325355 635 765 72 616 65 422
8142775334041 382 304 131 968 994 682
841222390193197 966 470 142 251 769 889
941721957759591 988 740 901 261 467 396
495563792124833 869 176 562 204 550 482
51295977423 139 62 847 660 412 739
1563061338929 253 852 769 718 387 724
2173324928100 293 349 978 174 48 936
48987044765612 547 360 787 817 574 117
141168118907361 676 192 695 793 364 707
35607613408388 513 529 228 450 259 957
25346504717850 479 601 345 57 322 296
283594485429224 777 789 917 602 679 58
448955885205242 852 277 16 523 665 677
55758817996510 560 910 478 875 431 556
390051200154 208 164 104 489 236 709
518819114835167 877 383 235 619 687 858
718539293150835 936 586 8 94 148 113
26029923165906 482 348 751 425 613 371
389397387779015 828 682 106 183 92 12
116032902677372 650 258 839 70 591 334
730886342094445 939 968 627 41 493 519
483533726858 135 814 698 780 25 854
524849404152208 879 575 538 938 632 486
100149112192 134 489 616 74 673 276
113378403531183 647 220 217 465 737 287
288723397015492 780 281 650 160 518 293
674868163900 230 422 783 894 225 412
836901813900993 965 520 142 351 47 758
47442118074103 543 697 470 390 569 720
131044608302764 666 347 230 999 576 332
978309897 51 161 338 785 73 19
5372129649 83 195 234 520 162 603
357406572924602 814 428 603 512 77 560
13542581929830 423 3 225 1000 126 905
232601725313515 747 270 30 200 988 820
6349358420061 362 604 573 925 312 653
27702881014184 488 406 278 198 143 731
74089250240938 594 612 268 23 689 898
23031453388 119 109 991 169 608 122
820877165002 138 937 112 304 981 516
142343824163429 677 600 465 449 421 27
125974760476765 660 928 513 18 226 362
12794130503846 417 656 363 898 326 16
109070805833833 642 304 540 830 476 239
19848174529649 456 603 656 288 727 393
32207173695669 503 310 958 167 353 318
3723087863302 323 675 597 397 110 500
218917758415489 738 22 744 333 400 116
34412191450 106 381 347 657 518 501
17905492332930 446 713 440 980 579 234
7982909401050 372 963 984 494 328 339
62902747826283 575 468 514 444 23 609
415778888739 22 803 170 973 92 561
19273782639 101 306 159 150 705 466
14893198756359 431 379 248 118 661 540
9062070269107 386 838 587 327 639 432
802736220162152 957 395 86 635 88 303
19358034454102 453 729 823 535 860 500
1052825804146 251 488 516 953 96 206
941558551899685 988 607 297 190 473 326
410976465192321 837 651 551 648 114 152
6132113390905 361 180 138 546 374 256
233803977790 186 328 731 283 58 108
448330370719 135 797 76 190 860 589
36590492832255 516 323 927 217 522 682
26335887054349 483 471 108 862 295 980
11870003537296 412 78 1000 304 825 279
18952135404019 451 736 383 801 812 626
1444837427429 235 924 928 323 475 332
38387192540901 521 63 600 596 38 705
4348659940016 337 217 538 221 333 956
534087457271374 882 759 845 695 612 199
770925522572 169 892 242 673 916 726
401292162376 172 708 799 103 817 527
147688071695900 682 616 288 202 628 574
251889160702287 759 148 509 288 652 561
27972204347 59 408 768 550 129 905
970376558380480 994 373 864 859 709 591
105717266953914 638 320 510 418 629 699
285412666341639 778 784 69 573 20 851
147551988759844 682 301 690 585 379 247
259767849456 136 680 830 885 996 399
144917526 43 57 233 893 545 981
462279447096530 857 153 347 358 209 548
60796196393267 571 559 676 317 692 822
41920004651094 530 563 241 888 555 211
4094430531871 333 19 639 703 990 83
406739969559786 835 954 927 997 503 938
436721057282505 847 943 121 112 860 86
30346437858289 496 756 383 771 787 346
651949118432944 918 164 653 368 601 668
526722488256 75 851 490 758 442 780
8092898306514 378 783 550 171 819 235
696037402608249 930 769 877 752 620 689
17667863913004 441 997 414 621 12 33
125233256504510 660 30 124 627 69 438
2608815409802 303 484 246 581 813 65
634407005234691 913 379 396 278 81 794
823925941484693 962 397 807 506 114 303
631911714227929 912 998 543 413 719 956
72737696054044 592 399 387 429 29 556
302525724407653 787 887 850 349 205 31
774158489452374 950 784 630 619 330 89
49872908629399 549 138 276 809 857 624
425734787082640 843 188 209 57 371 762
3803085791965 317 881 748 973 461 245
22703995731889 469 334 119 961 611 991
11761150930693 411 428 165 397 969 545
193043620484036 719 972 926 83 363 111
107394469190215 640 379 702 242 825 675
515875537504494 876 416 987 81 671 33
53127623672662 555 828 777 681 735 748
8211845253974 382 529 889 861 69 700
443777305777535 850 518 165 360 233 91
787116810113 7 942 668 869 668 905
621575379252 21 888 613 375 637 600
420783375672530 841 527 997 764 343 754
3202531601823 297 972 997 144 551 188
2727081064859 307 79 59 969 637 244
503579623787 219 86 614 249 813 354
1632421607904 277 215 798 739 402 573
24508919631121 475 757 493 205 593 204
761696458474354 947 487 380 902 585 799
583957952224677 898 9 523 354 744 717
712155886921 96 916 234 678 429 606
155937882833 77 626 695 105 738 832
2957568856 58 226 675 168 579 440
56626270251 131 369 790 546 995 138
173638852037 177 134 743 525 819 507
166407739796 160 500 983 856 524 503
104252475856340 636 662 142 964 931 21
414668845999 127 786 346 39 346 327
627468225918944 911 58 606 425 707 781
71716480862971 590 688 153 316 991 905
634386390115807 913 81 444 477 999 201
23882811566 95 361 943 274 486 197
1559055170632 261 768 27 956 661 421
1182841171136 209 941 239 744 753 148
65637078169782 580 220 980 400 439 943
306529147190 141 708 776 143 960 266
20717019760 76 371 914 215 699 533
867690576121120 972 510 849 191 558 788
45091011737421 538 369 54 225 727 844
695963113002812 930 724 256 397 535 120
54484063871029 558 789 581 522 761 478
232847251268303 747 708 752 219 469 420
626710837017 101 886 262 421 774 33
146497436387649 681 425 914 533 579 455
29895584157632 494 831 910 859 542 286
1257463867078 263 75 948 183 41 78
674237692 41 155 266 660 679 623
90147854251920 618 228 47 536 964 419
6774328950852 368 400 643 290 63 638
927633868569323 985 804 787 722 491 832
11608050343054 410 387 80 535 330 828
61797267296622 572 867 205 1 950 443
8835546702910 388 453 77 773 823 998
1491018819511 249 855 827 814 513 593
262003240306466 765 28 677 954 952 512
845590332268591 967 483 849 778 385 349
224993813367887 742 529 413 32 257 82
1040190000527 246 612 997 312 90 186
3271709859373 318 376 549 483 600 495
4410860140680 338 103 898 586 537 300
5483843524116 350 694 682 880 549 759
39731183877358 524 690 960 59 39 636
16050649882308 437 581 684 381 728 25
18452501559197 450 94 730 708 463 130
5408228091186 352 258 562 486 339 561
38387359300148 521 107 548 73 404 61
303830292418644 788 74 345 37 74 414
1037774846726 253 189 432 652 977 331
355183893147648 813 147 308 265 885 436
2116099303684 291 414 99 951 885 880
69775104675275 586 906 641 113 206 605
16136049413928 438 355 335 456 70 984
55566533931631 561 155 890 334 692 179
624189568887733 910 630 473 853 281 416
10240421647008 400 150 439 660 642 225
190124277990356 717 891 474 850 159 253
280214220443773 775 892 745 775 403 949
129231516607742 664 630 792 114 532 360
38092464550 40 443 806 862 146 157
307705197453200 790 7 762 410 916 201
149889823012370 684 642 665 440 728 507
344335002379 118 753 347 77 197 379
31903447230 58 421 551 762 931 839
766361374298787 948 912 805 618 50 740
757627169624787 946 5 627 562 464 43
391541446235146 829 262 500 307 933 21
40272361701445 526 292 137 221 612 893
28844996478307 491 745 49 597 614 669
10051991763779 398 506 479 134 599 21
2816638246346 309 40 737 141 262 947
448957883705901 852 298 68 838 969 78
70066649828 136 394 823 251 796 676
1019382423380 234 751 668 599 184 804
289978134433 193 386 190 256 232 736
97821767624 154 326 448 926 761 129
677843179722328 925 900 71 936 368 810
20585523914 116 28 748 902 359 413
603925883287669 904 666 263 225 511 220
9775372580338 396 440 627 712 248 285
50058052761 28 473 240 374 121 457
571381585110650 894 749 941 985 558 503
468475478297707 859 939 657 40 626 294
103338013485158 634 975 568 670 210 661
60108433621769 568 997 847 215 940 388
176669191724679 707 402 568 887 498 603
28840981838842 492 333 355 3 88 73
850485118639973 968 868 388 476 713 512
2196508073445 294 83 406 700 670 946
984169637622 250 296 411 363 169 165
216422231249 185 30 653 204 429 68
268924953382184 769 85 750 467 635 608
204442466843 114 656 91 441 365 888
790248491039713 954 449 991 717 682 360
59500924553 95 477 185 325 189 448
487630307 54 75 147 249 77 855
37661835187000 519 274 300 985 647 993
7791443488 95 95 303 501 452 662
144766271050755 679 814 575 122 945 448
7819807106524 379 16 62 212 460 745
64000837046678 577 461 26 521 753 882
128618074176 123 563 163 60 102 957
418222614164876 840 323 597 411 204 193
5327147180762 351 70 807 583 924 447
3643782684346 325 369 873 926 421 570
157541652546697 691 208 32 681 161 476
167074435585208 699 670 90 312 5 392
6237676377071 359 724 571 634 291 782
714657396718033 935 506 82 878 661 191
20214430028600 458 499 27 167 846 501
162272869219887 695 590 981 63 947 643
646690072188 49 897 996 488 749 757
16399173288471 439 555 918 719 649 911
34717355060 90 412 83 276 700 335
252016505277035 759 598 573 396 29 512
20821331667898 461 165 822 627 302 291
1098582153208 255 378 335 951 18 783
27989662723749 489 414 557 926 680 571
93179382291275 622 530 148 192 274 969
6793154382046 364 797 752 932 191 426
40621536151820 526 773 843 660 781 269
200379581390634 725 524 35 291 63 254
6244267930329 360 667 651 833 643 983
412442860277 210 252 1 936 767 559
59528445890 81 487 592 65 761 790
871142987446 243 393 49 479 799 773
171720133837565 703 365 490 567 940 690
56244255339 102 462 708 573 152 358
81743221443513 606 360 488 172 893 944
240989963062783 752 843 900 429 229 892
227975007089363 744 330 257 999 476 257
146767064463345 681 741 31 421 479 274
73949377055442 594 142 251 667 7 899
3681806319277 326 123 771 166 773 332
6118914496725 354 865 562 364 867 173
17015229059470 439 918 281 444 513 179
136038392273745 671 356 908 333 426 251
454421751423 213 359 851 228 818 974
416140076249582 839 801 433 135 258 526
918941565156 238 628 613 12 254 663
178555687714 65 649 246 915 42 667
346801093182583 809 721 821 873 437 604
17939801818 4 366 164 615 590 597
29932249377752 495 680 151 412 40 876
13409042688 77 323 567 832 749 972
16757388722186 441 528 597 404 542 556
836830978466241 965 223 580 424 895 356
5560849102763 354 200 131 757 448 625
374257648031 206 240 303 917 557 908
574290638006608 895 386 671 399 149 380
5210208854472 349 425 68 355 989 186
941646445893609 988 688 756 328 804 189
856694641455 163 928 190 546 1000 10
135012622507214 670 111 342 866 308 687
1723536527081 274 651 764 57 179 364
4838294821794 342 632 129 817 372 286
142214255155339 677 75 466 793 727 733
105710694838917 638 251 573 717 816 732
154939892194 114 607 410 777 222 770
567885033845368 893 254 414 130 989 244
117062449247101 651 610 707 276 926 891
10777978093903 404 354 410 682 506 835
23424889106337 470 837 742 515 102 447
459668253656228 856 532 36 819 795 918
8989720345905 385 854 959 389 577 537
746325665052133 943 893 798 209 603 369
2597136837959 304 181 680 317 606 891
2433050179035 286 849 225 904 689 290
695826826880786 930 610 94 364 267 739
614080739554678 907 719 202 118 133 7
422833001779 110 799 939 306 199 492
510063241064690 874 530 726 372 544 326
199056401228131 724 601 867 517 504 448
2658903695211 279 992 100 838 772 106
100828796238796 632 110 694 379 534 835
45072371857905 538 130 728 569 127 393
53134211704118 556 77 75 110 442 624
231100784340984 746 489 461 380 552 616
11639413027 83 301 798 184 195 396
56117609562861 562 483 789 759 584 234
16330982130667 439 402 586 770 802 136
2149175755334 280 809 591 505 355 184
7890043301988 379 516 869 543 288 631
110771546753801 644 57 666 816 134 922
204581834588082 728 562 919 400 211 326
2654494506515 300 689 953 914 921 16
287662175682821 779 943 226 799 410 888
260463351247490 764 640 80 14 825 827
52272858705 75 473 537 23 389 130
1702621666583 279 338 984 80 980 492
2517126472579 302 267 350 985 938 103
166599804773 90 634 956 555 213 885
406361259 53 24 230 541 234 215
352416082156 201 395 201 171 141 819
116278843195 49 584 686 343 823 500
137069317352386 672 415 322 472 989 916
18383898842637 445 983 111 253 192 177
75793738368206 596 877 533 436 617 973
5883507873340 358 234 131 395 414 318
575520368381 191 753 558 494 585 382
652012509533355 918 503 562 992 42 1000
450410319958 77 818 286 884 422 775
172929164199352 704 217 628 55 512 992
382578819768 194 573 252 815 520 976
543081533456260 885 657 753 566 848 297
681171981445 208 735 1 872 376 805
528083978443 221 174 250 903 915 348
10817216640857 404 484 129 597 94 295
333892881655939 803 388 327 680 168 695
26525780872269 483 700 998 649 753 216
526857084254 207 619 246 337 189 936
78444974748415 601 432 259 209 910 898
121241958905 85 585 679 587 714 693
-240771635 15 100 699 104 753 232
80389263958970 604 223 57 876 442 380
93174465598968 622 523 941 4 749 363
43848169422935 535 369 482 63 622 122
260467585541339 764 644 20 914 811 94
908644662709156 981 566 290 841 873 805
91613369534233 620 97 130 973 231 748
904158150191144 980 698 243 950 654 831
2726792286900 307 11 630 119 146 687
315619699963464 794 460 259 755 355 109
225302855177267 742 789 630 560 694 340
5267498281099 350 352 346 932 652 35
15184373425178 432 610 165 135 545 191
36625182000153 516 462 921 195 12 195
32844902060591 505 175 464 885 396 404
1973870441843 275 796 713 732 130 747
593777927608896 901 155 765 251 330 314
176902870 47 71 427 37 332 296
392719484948 184 653 224 234 873 560
83802006241573 609 426 810 182 793 973
113376060977327 647 103 497 499 893 520
4580585750268 332 860 31 811 662 154
38349484822 131 47 617 388 100 115
30045136086302 496 401 825 220 470 660
222980943618 178 459 457 146 994 342
1751616149774 281 32 721 422 593 143
130049342853368 665 30 272 195 410 786
8461591386730 385 232 183 720 204 692
92681984781380 621 757 961 342 584 633
377603080016596 823 423 743 734 849 36
389214376560781 828 430 951 694 98 972
181699771313498 711 228 325 293 310 213
127180061802210 662 441 300 947 202 868
21326366264944 463 472 18 776 290 511
4823472099724 337 831 88 101 652 265
23467240237 40 391 198 917 929 622
32239943703347 503 452 850 586 397 205
12218097263 75 315 82 204 195 732
699795573496519 931 774 51 805 182 756
393956662499322 830 481 976 2 806 369
273080317053 128 699 218 150 635 931
16433854206 25 361 824 739 645 380
373197861100035 821 662 553 337 389 49
42077874533 129 284 532 89 275 952
274748899405008 772 856 315 950 441 164
313599534349017 793 289 514 700 36 391
134007253441642 669 28 890 865 254 518
347384293412954 809 961 212 209 301 82
16208420866404 437 722 697 242 75 347
704381521341 234 230 64 281 939 841
132197487312860 667 652 254 305 662 34
985089717383312 997 73 346 265 797 988
132205735885252 667 660 929 607 660 967
8794648967615 387 581 24 128 993 890
300382794874 56 740 323 32 405 928
235986514625 7 697 288 584 2 623
1588217067059 238 953 638 804 521 957
6753369421474 368 261 643 325 503 144
624179155463 178 817 374 457 362 779
14150754686498 425 731 833 852 856 381
42589172415 105 416 496 862 182 546
527659558600 220 333 24 829 582 692
951267806697552 990 726 374 118 523 759
18857782414 72 361 393 146 42 10
1757907675450 254 915 643 833 465 210
186900323720389 715 431 530 501 838 54
9433728346 7 312 348 491 116 788
361104616262 202 399 826 668 881 256
21276571304195 463 136 796 927 313 732
15947065775316 437 323 944 813 484 205
92843418463 13 552 114 964 81 53
802720071006003 957 303 617 921 602 555
495610391606724 869 467 566 358 302 290
36431174514126 515 672 409 771 224 129
329952697294590 801 685 844 636 795 117
413647703321306 838 791 868 10 255 144
468414648842385 859 920 420 315 870 901
52426224756772 553 918 358 704 25 586
6403265090979 364 345 997 53 462 988
9568337550612 394 521 341 629 167 932
36016837839584 514 612 738 161 180 755
24190375430899 475 314 34 866 943 303
14290059542638 422 976 849 76 441 762
692069547722 51 912 419 494 86 414
943663767758 183 927 269 403 735 345
259028336126434 763 811 924 379 534 661
227015419261456 743 873 883 962 874 423
134744071269 11 606 491 571 186 536
13508156643620 420 814 26 825 163 992
12504375725977 414 765 273 361 990 594
498577310265596 870 629 522 878 392 93
313635507471164 793 455 359 644 36 945
3100938850523 315 86 783 707 423 389
107398252523002 640 394 304 220 752 798
19079412355658 453 239 234 626 820 982
323790741725164 798 657 200 753 893 349
9509822412 99 2 43 546 556 302
685944063360 231 410 396 951 583 811
1475471552695 231 951 602 253 238 460
115139506764572 649 160 750 618 239 466
507079672137249 873 283 842 173 875 375
347171669644 201 372 389 152 458 446
38020399100339 520 65 280 666 726 322
70290935268708 588 222 721 764 976 505
78514220915807 601 568 307 916 955 2
3037152274691 311 598 491 681 608 806
70931802887697 589 456 360 199 574 879
184429626020847 713 635 25 486 452 116
583981295794551 898 393 868 56 593 365
2553433159986 303 50 808 952 979 424
336343264903 202 74 215 140 182 348
386836588053001 827 25 154 315 765 653
531041243662 215 518 710 539 667 105
73266378994 149 86 611 612 613 335
14031616004490 426 217 661 916 868 190
620686799429770 909 525 455 668 912 391
666359025608521 922 537 928 755 73 652
238635398885 181 461 926 761 113 445
111670849852195 645 439 939 309 245 694
3795621550111 328 95 942 675 547 784
64259274177283 576 962 821 645 916 871
143267781882114 678 69 69 422 62 650
32851812171964 505 300 706 844 627 684
369197077678720 819 919 982 403 969 696
12313533167243 415 252 117 422 665 378
10666268227511 402 640 425 9 194 901
161310369924217 694 753 822 891 300 969
406984014163 177 695 382 912 392 545
49799649181572 548 785 448 432 952 987
109173585243858 642 578 766 277 197 192
298430975680584 785 764 689 800 597 915
186867188017285 715 187 64 109 641 843
159832650014723 693 4 628 469 279 178
21527055628478 464 374 202 55 963 668
795782954493 97 942 603 993 465 509
34946330734844 509 940 193 932 887 533
1306956490375 265 157 800 616 75 858
1181768409527 237 812 884 555 697 86
23199468751938 471 376 352 642 552 225
211610623745846 733 307 677 747 530 408
74654630033494 595 535 946 352 589 589
971221393543111 994 964 353 692 872 684
93361771947804 622 715 391 933 993 92
56769386507700 563 673 80 964 338 314
156724634101768 690 753 18 867 471 181
2875261231761 310 334 462 651 916 186
3305154738888 319 214 657 693 110 263
3251843543236 318 41 362 207 915 713
216848742491 185 113 242 501 536 956
133009360598942 668 164 911 64 180 345
389047225579 42 790 836 881 218 304
16287824797 29 359 700 323 336 828
69026238812875 585 846 227 426 754 497
104193704260478 635 987 590 446 874 722
30323636707183 497 128 680 957 164 349
1274315423343 225 914 605 56 92 879
9906229094386 391 936 121 430 420 930
40960363261 18 451 745 10 234 273
41197814742847 526 983 998 225 931 786
765874017744454 948 672 202 766 988 84
428264025523757 844 83 878 525 455 384
216810017786760 736 958 474 309 166 837
23819223788746 470 970 829 540 771 224
126949139052186 661 935 159 747 599 593
115836770763 157 380 739 649 899 77
781962280979926 952 211 409 463 951 968
53756772014049 557 615 185 298 63 131
222140762400683 740 700 11 839 272 903
731137342989 232 494 807 740 8 456
20478434396454 459 570 805 48 101 131
819787815571987 961 632 222 160 77 221
175230061570 6 647 151 795 828 241
210162421914047 732 99 639 157 662 314
455482689247 124 808 402 523 102 310
2161219893790 293 208 425 209 228 589
167927258872 176 10 982 944 451 269
171262146061938 702 939 356 923 264 894
805497891 42 195 917 651 546 50
62864719887175 574 863 591 777 918 566
364007101250699 817 26 710 456 380 30
913284107186924 982 565 74 186 427 478
102211434756 138 478 349 372 646 863
654996542612 176 835 72 602 516 741
188176920481268 716 157 408 301 265 237
225594741929296 742 908 830 613 846 309
1677294330813 235 990 169 338 58 351
600582968581 163 835 845 796 294 948
757628355966518 946 181 511 34 576 642
46731987086 118 393 44 575 436 90
244618824770 177 516 34 517 408 956
24407677973099 475 691 988 777 12 346
23862665124 119 92 417 238 154 550
196702788320 79 664 914 42 28 979
149868952335062 684 621 166 358 273 422
310207144372842 791 861 790 967 545 338
77138385431170 599 398 952 585 810 968
12997698948634 419 538 709 375 887 966
375293918269675 822 322 114 913 273 545
4906411915608 345 371 508 845 730 39
1501387873906 268 588 879 875 873 493
5177564620557 349 40 279 889 426 132
34547260860453 509 786 8 48 926 826
173037231412 168 445 165 506 265 573
195811401115574 721 993 440 681 439 452
182677185388001 711 995 407 591 571 806
4887565036025 345 157 862 285 837 5
243512943231 185 405 450 776 821 384
22727688925599 469 436 62 54 798 510
-343301911 15 78 725 805 505 473
965486258529048 993 84 720 899 380 440
237304941991149 750 133 388 596 675 229
18312495284241 449 504 896 618 973 281
17912516543 102 288 200 141 762 472
130418084052 45 601 615 815 940 146
17242582100067 439 984 172 304 355 121
10087733181206 392 955 590 47 286 16
99940662881 158 202 575 120 795 157
738852380916 67 927 981 307 742 660
12929208083204 419 350 423 964 338 770
489438494070 214 449 276 458 483 680
44808268786415 536 868 653 506 924 110
